Unnamed: 0,Gene,ChEMBLTargetID,UniProt,GeneFullName,PathwayIDs,PathwayNames,ProteinClass,ScoreGDA,geneNcbiID,geneNcbiType,ModulatorCount,ModulatorScore_Global,ModulatorScore_q95,ModulatorScore_Local,CrystalStructureCount,CrystalScore_Global,CrystalScore_q95,CrystalScore_Local,Category,coverage_percent,CSS_Avg,CSS_Final,CSS_Final_Rank,TS,Top_Disease_1_Name,Top_Disease_2_Name,Top_Disease_3_Name,Top_Disease_1_ID,Top_Disease_2_ID,Top_Disease_3_ID,Top_Disease_1_Score,Top_Disease_2_Score,Top_Disease_3_Score
10,GSTP1,CHEMBL3902,"V9HWE9,P09211",glutathione S-transferase pi 1,"R-HSA-1430728,R-HSA-168256,R-HSA-8953897,R-HSA-9748784","Metabolism,Immune System,Cellular responses to stimuli,Drug ADME",,0.85,2950,protein-coding,62.0,0.008233731739707836,0.03760994843797401,0.00906300248501681,63.0,0.057692307692307696,1.0,0.5779816513761468,Mid-range or all low,99.05,0.5452246530228182,0.5452246530228182,3.0,0.6527064399858423,,,,,,,,,
11,SOD1,CHEMBL2354,"P00441,V9HWC9",superoxide dismutase 1,"R-HSA-109582,R-HSA-168256,R-HSA-8953897","Hemostasis,Immune System,Cellular responses to stimuli",Enzyme,0.9,6647,protein-coding,12.0,0.0015936254980079682,0.007279344858962712,0.00175412951322906,109.0,0.09981684981684982,1.0,1.0,Mid-range or all low,99.35,0.69993894993895,0.69993894993895,1.0,0.6516941047346131,,,,,,,,,
12,GSTM1,CHEMBL2081,"X5D932,X5DR03,P09488",glutathione S-transferase mu 1,"R-HSA-1430728,R-HSA-9748784","Metabolism,Drug ADME",,0.85,2944,protein-coding,0.0,0.0,0.0,0.0,4.0,0.003663003663003663,0.12903225806451613,0.03669724770642202,Mid-range or all low,100.0,0.056464169811313934,0.056464169811313934,10.0,0.6343094438200992,,,,,,,,,
13,NOS1,CHEMBL3568,"B3VK56,B4DG68,A0PJJ7,P29475",nitric oxide synthase 1,"R-HSA-109582,R-HSA-168256,R-HSA-397014","Hemostasis,Immune System,Muscle contraction",,0.85,4842,protein-coding,666.0,0.08844621513944223,0.40400363967243047,0.09735418798421283,86.0,0.07875457875457875,1.0,0.7889908256880734,"Low GDA, High CSS",27.55,0.622581801480884,0.17152128630798358,7.0,0.5182642084543004,,,,,,,,,
14,SYNJ1,CHEMBL4523136,"A0A0D9SGJ6,C9JFZ1,B9EGN3,J3KQV8,Q05CZ1,O43426",synaptojanin 1,"R-HSA-1430728,R-HSA-5653656","Metabolism,Vesicle-mediated transport",Enzyme,0.9,8867,protein-coding,1.0,0.00013280212483399734,0.000606612071580226,0.000146177459435755,3.0,0.0027472527472527475,0.0967741935483871,0.027522935779816515,Mid-range or all low,89.81,0.042348127358485456,0.042348127358485456,11.0,0.4772127172669855,,,,,,,,,
15,SNCA,CHEMBL6152,"P37840,H6UYS5",synuclein alpha,"R-HSA-168256,R-HSA-392499","Immune System,Metabolism of proteins",Transporter,1.0,6622,protein-coding,259.0,0.034395750332005315,0.1571125265392785,0.03785996199386055,14.0,0.01282051282051282,0.45161290322580644,0.12844036697247707,Mid-range or all low,41.18,0.19762459433959878,0.08138180794904677,8.0,0.4385926095938566,,,,,,,,,
16,NR4A2,CHEMBL5002,"Q53EL4,P43354,F1D8N6",nuclear receptor subfamily 4 group A member 2,"R-HSA-392499,R-HSA-74160","Metabolism of proteins,Gene expression (Transcription)",Nuclear receptor,1.0,4929,protein-coding,50.0,0.006640106241699867,0.0303306035790113,0.00730887297178775,3.0,0.0027472527472527475,0.0967741935483871,0.027522935779816515,Mid-range or all low,48.49,0.042348127358485456,0.020534606956129596,16.0,0.3764722612774239,,,,,,,,,
17,SLC18A2,CHEMBL1893,Q05940,solute carrier family 18 member A2,"R-HSA-112316,R-HSA-382551","Neuronal System,Transport of small molecules",Transporter,0.95,6571,protein-coding,21.0,0.0027888446215139444,0.012738853503184745,0.003069726648150855,,0.0,0.0,0.0,Mid-range or all low,67.45,0.0,0.0,20.0,0.3630665134791618,,,,,,,,,
18,BDNF,CHEMBL4523205,"A0A0E3SU01,P23560",brain derived neurotrophic factor,"R-HSA-162582,R-HSA-1643685,R-HSA-74160","Signal Transduction,Disease,Gene expression (Transcription)",Signaling,1.0,627,protein-coding,3.0,0.00039840637450199205,0.001819836214740678,0.000438532378307265,1.0,0.0009157509157509158,0.03225806451612903,0.009174311926605505,"High GDA, Low CSS",48.04,0.014116042452828484,0.006781346794338804,18.0,0.362534536264339,,,,,,,,,
19,PINK1,CHEMBL3337330,Q9BXM7,PTEN induced kinase 1,"R-HSA-74160,R-HSA-9612973","Gene expression (Transcription),Autophagy",Kinase,1.0,65018,protein-coding,3.0,0.00039840637450199205,0.001819836214740678,0.000438532378307265,,0.0,0.0,0.0,Mid-range or all low,52.67,0.0,0.0,20.0,0.362534536264339,,,,,,,,,
20,VPS35,CHEMBL2216744,Q96QK1,VPS35 retromer complex component,R-HSA-162582,Signal Transduction,Transporter,1.0,55737,protein-coding,0.0,0.0,0.0,0.0,2.0,0.0018315018315018315,0.06451612903225806,0.01834862385321101,"High GDA, Low CSS",53.28,0.028232084905656967,0.028232084905656967,14.0,0.3616490783554714,,,,,,,,,
21,TH,CHEMBL1969,"P07101,P78428",tyrosine hydroxylase,R-HSA-1430728,Metabolism,,0.95,7054,protein-coding,3.0,0.00039840637450199205,0.001819836214740678,0.000438532378307265,,0.0,0.0,0.0,Mid-range or all low,26.15,0.0,0.0,20.0,0.3577421770921848,,,,,,,,,
22,S100B,CHEMBL4300,"P04271,A0A0S2Z4C5",S100 calcium binding protein B,"R-HSA-162582,R-HSA-168256","Signal Transduction,Immune System",Calcium-binding protein,0.9,6285,protein-coding,1.0,0.00013280212483399734,0.000606612071580226,0.000146177459435755,8.0,0.007326007326007326,0.25806451612903225,0.07339449541284404,Mid-range or all low,0.0,0.11292833962262787,0.0,20.0,0.3484442008353328,,,,,,,,,
23,IL1B,CHEMBL1909490,P01584,interleukin 1 beta,"R-HSA-1643685,R-HSA-168256,R-HSA-5357801","Disease,Immune System,Programmed Cell Death",,0.9,3553,protein-coding,0.0,0.0,0.0,0.0,54.0,0.04945054945054945,1.0,0.4954128440366973,Mid-range or all low,0.0,0.5149544644957489,0.0,20.0,0.3481491132925924,,,,,,,,,
24,HSPA9,CHEMBL4295757,"P38646,A0A384P5G6",heat shock protein family A (Hsp70) member 9,"R-HSA-1430728,R-HSA-168256,R-HSA-1852241,R-HSA-392499,R-HSA-8953897,R-HSA-9609507","Metabolism,Immune System,Organelle biogenesis and maintenance,Metabolism of proteins,Cellular responses to stimuli,Protein localization",,0.85,3313,protein-coding,10.0,0.0013280212483399733,0.00606612071580226,0.00146177459435755,2.0,0.0018315018315018315,0.06451612903225806,0.01834862385321101,Mid-range or all low,64.77,0.028232084905656967,0.028232084905656967,14.0,0.337263280888421,,,,,,,,,
25,PPARGC1A,CHEMBL6116,Q9UBK2,PPARG coactivator 1 alpha,"R-HSA-1266738,R-HSA-1430728,R-HSA-1852241,R-HSA-392499,R-HSA-400253,R-HSA-74160,R-HSA-8953897","Developmental Biology,Metabolism,Organelle biogenesis and maintenance,Metabolism of proteins,Circadian Clock,Gene expression (Transcription),Cellular responses to stimuli",Transcription factor,0.85,10891,protein-coding,0.0,0.0,0.0,0.0,38.0,0.0347985347985348,1.0,0.3486238532110092,Mid-range or all low,1.78,0.4611407960031813,0.008208306168856627,17.0,0.3343095355907673,,,,,,,,,
