Disease,MeSH_ID,Average_Score,Rank
Aromatic amino acid decarboxylase deficiency,C537437,1.0,1.0
Parkinson Disease,D010300,0.8,2.0
Pheochromocytoma,D010673,0.6,3.0
Major Affective Disorder 2,C564108,0.6,3.0
Bipolar Disorder,D001714,0.55,5.0
Tobacco Use Disorder,D014029,0.53,6.0
"Depressive Disorder, Major",D003865,0.5,7.0
"Metabolism, Inborn Errors",D008661,0.45,8.0
Nerve Degeneration,D009410,0.4,9.0
Mental Disorders,D001523,0.4,9.0
