,ChEMBLTargetID,ModulatorCount
226,CHEMBL1075583,72
227,CHEMBL1075584,87
228,CHEMBL1075585,54
229,CHEMBL1075586,30
230,CHEMBL1075587,38
231,CHEMBL1075588,32
232,CHEMBL1075589,26
233,CHEMBL1075590,58
234,CHEMBL1075591,37
235,CHEMBL1075592,241
236,CHEMBL1075593,59
237,CHEMBL1075594,35
238,CHEMBL1075595,68
239,CHEMBL1075596,30
240,CHEMBL1075597,16
241,CHEMBL1075598,25
242,CHEMBL1075600,37
243,CHEMBL1075601,45
244,CHEMBL1075602,73
245,CHEMBL1075604,17
246,CHEMBL1075605,27
247,CHEMBL1075606,30
248,CHEMBL1075607,45
249,CHEMBL1075610,45
250,CHEMBL1075611,45
251,CHEMBL1075612,52
252,CHEMBL1075613,28
253,CHEMBL1163101,371
254,CHEMBL1163104,15
255,CHEMBL1163106,9
256,CHEMBL1163108,43
257,CHEMBL1163112,18
258,CHEMBL1163117,12
259,CHEMBL1163120,20
260,CHEMBL1163123,28
261,CHEMBL1163124,49
262,CHEMBL1163125,4387
263,CHEMBL1163126,33
264,CHEMBL1163127,9
265,CHEMBL1163128,15
266,CHEMBL1163129,20
267,CHEMBL1169596,28
268,CHEMBL1169600,2
269,CHEMBL1250342,1
270,CHEMBL1250343,4
271,CHEMBL1250344,14
272,CHEMBL1250348,234
273,CHEMBL1250350,3
274,CHEMBL1250356,1
275,CHEMBL1250358,3
276,CHEMBL1250375,150
277,CHEMBL1250378,13
278,CHEMBL1250379,20
279,CHEMBL1250380,2
280,CHEMBL1250381,1
281,CHEMBL1250402,23
282,CHEMBL1250411,111
283,CHEMBL1250412,2
284,CHEMBL1250415,4
285,CHEMBL1250417,23
286,CHEMBL1255125,3
287,CHEMBL1255126,323
288,CHEMBL1255131,28
289,CHEMBL1255137,49
290,CHEMBL1255139,3
291,CHEMBL1255161,3
292,CHEMBL1255163,61
293,CHEMBL1255167,4
294,CHEMBL1275209,12
295,CHEMBL1275210,3
296,CHEMBL1275212,238
297,CHEMBL1275217,28
298,CHEMBL1275221,127
299,CHEMBL1275223,29
300,CHEMBL1287617,19
301,CHEMBL1287622,5453
302,CHEMBL1287623,90
303,CHEMBL1287624,1
304,CHEMBL1287625,18
305,CHEMBL1287627,70
306,CHEMBL1287628,99
307,CHEMBL1293191,8
308,CHEMBL1293193,11
309,CHEMBL1293194,481
310,CHEMBL1293197,97
311,CHEMBL1293199,8
312,CHEMBL1293222,286
313,CHEMBL1293224,24184
314,CHEMBL1293226,4031
315,CHEMBL1293227,3359
316,CHEMBL1293229,100
317,CHEMBL1293230,72
318,CHEMBL1293232,15062
319,CHEMBL1293235,14745
320,CHEMBL1293236,1636
321,CHEMBL1293237,762
322,CHEMBL1293240,50
323,CHEMBL1293243,157
324,CHEMBL1293249,118
325,CHEMBL1293255,3203
326,CHEMBL1293256,269
327,CHEMBL1293257,283
328,CHEMBL1293258,22
329,CHEMBL1293265,25
330,CHEMBL1293266,355
331,CHEMBL1293267,365
332,CHEMBL1293274,28
333,CHEMBL1293275,5
334,CHEMBL1293276,39
335,CHEMBL1293277,18433
336,CHEMBL1293278,102
337,CHEMBL1293286,84
338,CHEMBL1293287,115
339,CHEMBL1293289,449
340,CHEMBL1293292,615
341,CHEMBL1293293,244
342,CHEMBL1293294,21766
343,CHEMBL1293295,3
344,CHEMBL1293296,8
345,CHEMBL1293298,54
346,CHEMBL1293299,4183
347,CHEMBL1293314,1
348,CHEMBL1293316,430
349,CHEMBL1293317,4
350,CHEMBL1293320,10
351,CHEMBL1613743,50
352,CHEMBL1615321,69
353,CHEMBL1615322,17832
354,CHEMBL1615381,194
355,CHEMBL1615382,168
356,CHEMBL1615383,2
357,CHEMBL1615384,11
358,CHEMBL1615386,32
359,CHEMBL1615387,52
360,CHEMBL1615388,4
361,CHEMBL1626502,169
362,CHEMBL1628461,65
363,CHEMBL1628465,25
364,CHEMBL1628468,133
365,CHEMBL1628469,15
366,CHEMBL1628470,1
367,CHEMBL1628472,91
368,CHEMBL1628473,43
369,CHEMBL1628474,2
370,CHEMBL1628475,2
371,CHEMBL1628477,13
372,CHEMBL1628481,564
373,CHEMBL1628482,3
374,CHEMBL1641347,31
375,CHEMBL1641348,28
376,CHEMBL1649048,1
377,CHEMBL1649051,15
378,CHEMBL1649052,54
379,CHEMBL1649058,1
380,CHEMBL1649059,9
381,CHEMBL1671608,8
382,CHEMBL1671609,3
383,CHEMBL1671612,5
384,CHEMBL1681611,247
385,CHEMBL1681631,7
386,CHEMBL1697657,36
387,CHEMBL1697668,139
388,CHEMBL1697669,1
389,CHEMBL1697671,26
390,CHEMBL1741162,14
391,CHEMBL1741165,600
392,CHEMBL1741176,583
393,CHEMBL1741179,363
394,CHEMBL1741186,3211
395,CHEMBL1741187,2
396,CHEMBL1741189,1273
397,CHEMBL1741190,1
398,CHEMBL1741191,3
399,CHEMBL1741193,4
400,CHEMBL1741195,284
401,CHEMBL1741200,137
402,CHEMBL1741207,247
403,CHEMBL1741208,473
404,CHEMBL1741213,593
405,CHEMBL1741214,5
406,CHEMBL1741215,316
407,CHEMBL1741216,5
408,CHEMBL1741217,617
409,CHEMBL1741218,28
410,CHEMBL1741220,41
411,CHEMBL1741221,203
412,CHEMBL1741305,1
413,CHEMBL1743121,94
414,CHEMBL1743122,35
415,CHEMBL1743124,17
416,CHEMBL1743125,22
417,CHEMBL1743126,34
418,CHEMBL1743127,12
419,CHEMBL1743128,39
420,CHEMBL1743129,1
421,CHEMBL1743183,151
422,CHEMBL1743291,6
423,CHEMBL1743316,1
424,CHEMBL1743318,1
425,CHEMBL1744522,142
426,CHEMBL1744524,2
427,CHEMBL1744525,2479
428,CHEMBL1764940,63
429,CHEMBL1764946,79
430,CHEMBL1770034,162
431,CHEMBL1770047,30
432,CHEMBL1772926,3
433,CHEMBL1772927,13
434,CHEMBL1772932,23
435,CHEMBL1778,1
436,CHEMBL1781,296
437,CHEMBL1781865,28
438,CHEMBL1781868,11
439,CHEMBL1781870,1
440,CHEMBL1782,297
441,CHEMBL1783,51
442,CHEMBL1784,985
443,CHEMBL1785,890
444,CHEMBL1787,400
445,CHEMBL1790,776
446,CHEMBL1791,42
447,CHEMBL1792,858
448,CHEMBL1793,128
449,CHEMBL1795087,8
450,CHEMBL1795088,11
451,CHEMBL1795091,39
452,CHEMBL1795093,186
453,CHEMBL1795094,12
454,CHEMBL1795098,778
455,CHEMBL1795103,9
456,CHEMBL1795114,2
457,CHEMBL1795116,610
458,CHEMBL1795117,129
459,CHEMBL1795118,8
460,CHEMBL1795120,3
461,CHEMBL1795122,3
462,CHEMBL1795129,21
463,CHEMBL1795138,44
464,CHEMBL1795139,92
465,CHEMBL1795140,16
466,CHEMBL1795143,96
467,CHEMBL1795148,71
468,CHEMBL1795151,22
469,CHEMBL1795165,19
470,CHEMBL1795166,17
471,CHEMBL1795168,67
472,CHEMBL1795171,20
473,CHEMBL1795172,1
474,CHEMBL1795173,1
475,CHEMBL1795176,16
476,CHEMBL1795177,460
477,CHEMBL1795178,5
478,CHEMBL1795184,80
479,CHEMBL1795185,150
480,CHEMBL1795186,476
481,CHEMBL1795188,37
482,CHEMBL1795191,2
483,CHEMBL1795192,90
484,CHEMBL1795194,165
485,CHEMBL1795195,21
486,CHEMBL1795198,8
487,CHEMBL1795199,106
488,CHEMBL1798,237
489,CHEMBL1800,1926
490,CHEMBL1801,714
491,CHEMBL1803,84
492,CHEMBL1804,806
493,CHEMBL1805,126
494,CHEMBL1806,167
495,CHEMBL1807,4
496,CHEMBL1808,572
497,CHEMBL1810,6
498,CHEMBL1811,724
499,CHEMBL1812,37
500,CHEMBL1817,21
501,CHEMBL1821,1344
502,CHEMBL1822,140
503,CHEMBL1824,1926
504,CHEMBL1825,630
505,CHEMBL1827,1857
506,CHEMBL1828,41
507,CHEMBL1829,1872
508,CHEMBL1830,24
509,CHEMBL1832,150
510,CHEMBL1833,2105
511,CHEMBL1835,828
512,CHEMBL1836,801
513,CHEMBL1838,2
514,CHEMBL1839,36
515,CHEMBL1841,499
516,CHEMBL1844,1883
517,CHEMBL1845,60
518,CHEMBL1846,6
519,CHEMBL1847,18
520,CHEMBL1850,372
521,CHEMBL1851,2
522,CHEMBL1853,540
523,CHEMBL1854,57
524,CHEMBL1855,1556
525,CHEMBL1856,397
526,CHEMBL1859,397
527,CHEMBL1860,356
528,CHEMBL1861,113
529,CHEMBL1862,2418
530,CHEMBL1864,246
531,CHEMBL1865,4351
532,CHEMBL1866,32
533,CHEMBL1867,1139
534,CHEMBL1868,1170
535,CHEMBL1869,12
536,CHEMBL1870,223
537,CHEMBL1871,2540
538,CHEMBL1873,247
539,CHEMBL1875,642
540,CHEMBL1878,593
541,CHEMBL1881,516
542,CHEMBL1882,97
543,CHEMBL1886,96
544,CHEMBL1887,1
545,CHEMBL1889,1071
546,CHEMBL1892,368
547,CHEMBL1893,32
548,CHEMBL1898,1148
549,CHEMBL1899,801
550,CHEMBL1900,729
551,CHEMBL1901,447
552,CHEMBL1902,575
553,CHEMBL1903,78
554,CHEMBL1904,254
555,CHEMBL1906,1218
556,CHEMBL1907,264
557,CHEMBL1907588,76
558,CHEMBL1907589,1089
559,CHEMBL1907591,74
560,CHEMBL1907594,665
561,CHEMBL1907597,7
562,CHEMBL1907598,1491
563,CHEMBL1907599,1267
564,CHEMBL1907600,1271
565,CHEMBL1907601,1095
566,CHEMBL1907602,566
567,CHEMBL1907603,330
568,CHEMBL1907604,200
569,CHEMBL1907605,1121
570,CHEMBL1907606,165
571,CHEMBL1907611,1230
572,CHEMBL1908,1157
573,CHEMBL1908381,25
574,CHEMBL1908382,16
575,CHEMBL1908383,49
