,pChEMBL,Data validity comment,Assay ChEMBL ID,confidence_score,MOA,Direct interaction (1/0)?,Disease efficacy (1/0)?,Molecule ChEMBL ID,Preferred name,Molecule type,Max phase,Availability (2/1/0/-1/-2)?,Therapeutic (1/0)?,First-in-class (1/0/-1)?,Chemical probe (1/0)?,Orphan (1/0/-1)?,Canonical SMILES,Molecular weight of full compound,Molecular formula of full compound,Parent compound ChEMBL ID,Active ingredient ChEMBL ID,Target ChEMBL ID,Active ingredient of prodrug?
781,7.6,,CHEMBL717661,8,,,,CHEMBL2371888,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CCCCC(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@]2(CCc3c(C)cccc3C2)NC1=O,1003.22,C53H70N12O8,CHEMBL2371888,CHEMBL2371888,CHEMBL259,No
1155,8.3,,CHEMBL717661,8,,,,CHEMBL2371880,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CCCCC(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@]2(CCc3c(cccc3OC)C2)NC1=O,1019.22,C53H70N12O9,CHEMBL2371880,CHEMBL2371880,CHEMBL259,No
1156,6.13,,CHEMBL717656,8,,,,CHEMBL2371880,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CCCCC(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@]2(CCc3c(cccc3OC)C2)NC1=O,1019.22,C53H70N12O9,CHEMBL2371880,CHEMBL2371880,CHEMBL3795,No
3973,8.1,,CHEMBL717661,8,,,,CHEMBL2371887,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CCCCC(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@]2(CCc3c(CC)cccc3C2)NC1=O,1017.25,C54H72N12O8,CHEMBL2371887,CHEMBL2371887,CHEMBL259,No
3974,6.38,,CHEMBL717656,8,,,,CHEMBL2371887,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CCCCC(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@]2(CCc3c(CC)cccc3C2)NC1=O,1017.25,C54H72N12O8,CHEMBL2371887,CHEMBL2371887,CHEMBL3795,No
25362,8.4,,CHEMBL663025,8,,,,CHEMBL2372340,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)CCCCCOP(=O)(O)OC2CCC(c3ccccc3)(c3ccccc3)CC2)CSSC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(N)=O)C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)NC1=O,2610.94,C120H169N28O32PS2,CHEMBL2372340,CHEMBL2372340,CHEMBL3991,No
25363,8.47,,CHEMBL663024,8,,,,CHEMBL2372340,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)CCCCCOP(=O)(O)OC2CCC(c3ccccc3)(c3ccccc3)CC2)CSSC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(N)=O)C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)NC1=O,2610.94,C120H169N28O32PS2,CHEMBL2372340,CHEMBL2372340,CHEMBL3991,No
25364,7.05,,CHEMBL663026,8,,,,CHEMBL2372340,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)CCCCCOP(=O)(O)OC2CCC(c3ccccc3)(c3ccccc3)CC2)CSSC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(N)=O)C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)NC1=O,2610.94,C120H169N28O32PS2,CHEMBL2372340,CHEMBL2372340,CHEMBL3991,No
25919,8.72,,CHEMBL663025,8,,,,CHEMBL2372335,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)CCCCCOP(=O)(O)Oc2ccc3ccccc3c2)CSSC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(N)=O)C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)NC1=O,2502.76,C112H157N28O32PS2,CHEMBL2372335,CHEMBL2372335,CHEMBL3991,No
25920,8.7,,CHEMBL663024,8,,,,CHEMBL2372335,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)CCCCCOP(=O)(O)Oc2ccc3ccccc3c2)CSSC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(N)=O)C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)NC1=O,2502.76,C112H157N28O32PS2,CHEMBL2372335,CHEMBL2372335,CHEMBL3991,No
25921,8.04,,CHEMBL663026,8,,,,CHEMBL2372335,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)CCCCCOP(=O)(O)Oc2ccc3ccccc3c2)CSSC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(N)=O)C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)NC1=O,2502.76,C112H157N28O32PS2,CHEMBL2372335,CHEMBL2372335,CHEMBL3991,No
26498,8.7,,CHEMBL663025,8,,,,CHEMBL2372334,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)CCCCCOP(=O)(O)OCCCCCc2ccccc2)CSSC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(N)=O)C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)NC1=O,2522.83,C113H165N28O32PS2,CHEMBL2372334,CHEMBL2372334,CHEMBL3991,No
26499,8.62,,CHEMBL663024,8,,,,CHEMBL2372334,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)CCCCCOP(=O)(O)OCCCCCc2ccccc2)CSSC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(N)=O)C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)NC1=O,2522.83,C113H165N28O32PS2,CHEMBL2372334,CHEMBL2372334,CHEMBL3991,No
26500,7.66,,CHEMBL663026,8,,,,CHEMBL2372334,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)CCCCCOP(=O)(O)OCCCCCc2ccccc2)CSSC[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(N)=O)C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)NC1=O,2522.83,C113H165N28O32PS2,CHEMBL2372334,CHEMBL2372334,CHEMBL3991,No
38055,7.52,,CHEMBL653332,8,,,,CHEMBL2370886,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CCC(O)[C@H](NC(=O)[C@@H](N)CCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C)C(C)C)[C@@H](C)CC,1668.93,C74H121N15O26S,CHEMBL2370886,CHEMBL2370886,CHEMBL4822,No
39465,8.92,,CHEMBL717673,9,,,,CHEMBL2370154,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,1038.22,C51H71N15O9,CHEMBL2370154,CHEMBL2370154,CHEMBL4644,No
39466,8.73,,CHEMBL717670,9,,,,CHEMBL2370154,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,1038.22,C51H71N15O9,CHEMBL2370154,CHEMBL2370154,CHEMBL4644,No
39467,9.0,,CHEMBL712906,9,,,,CHEMBL2370154,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,1038.22,C51H71N15O9,CHEMBL2370154,CHEMBL2370154,CHEMBL259,No
39468,8.54,,CHEMBL712742,9,,,,CHEMBL2370154,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,1038.22,C51H71N15O9,CHEMBL2370154,CHEMBL2370154,CHEMBL259,No
39469,8.16,,CHEMBL712998,9,,,,CHEMBL2370154,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,1038.22,C51H71N15O9,CHEMBL2370154,CHEMBL2370154,CHEMBL4608,No
39470,8.48,,CHEMBL713023,9,,,,CHEMBL2370154,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,1038.22,C51H71N15O9,CHEMBL2370154,CHEMBL2370154,CHEMBL4608,No
576131,7.5,,CHEMBL1613842,9,,,,CHEMBL1236460,THIOSTREPTON,Peptide (Inferred via PubChem),-1.0,,0,0,0,0,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=N[C@@H]3c4csc(n4)[C@H]4NC(=O)c5csc(n5)[C@H]([C@](C)(O)[C@@H](C)O)NC(=O)[C@H]5CSC(=N5)/C(=C/C)NC(=O)[C@H]([C@@H](C)O)NC(=O)c5csc(n5)[C@]3(CC2)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)CC)N[C@@H]2C=Cc3c([C@H](C)O)cc(nc3[C@H]2O)C(=O)O[C@@H]4C)n1)C(N)=O,1664.92,C72H85N19O18S5,CHEMBL1236460,CHEMBL1236460,CHEMBL1293232,No
682921,4.55,,CHEMBL1614421,9,,,,CHEMBL1236460,THIOSTREPTON,Peptide (Inferred via PubChem),-1.0,,0,0,0,0,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=N[C@@H]3c4csc(n4)[C@H]4NC(=O)c5csc(n5)[C@H]([C@](C)(O)[C@@H](C)O)NC(=O)[C@H]5CSC(=N5)/C(=C/C)NC(=O)[C@H]([C@@H](C)O)NC(=O)c5csc(n5)[C@]3(CC2)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)CC)N[C@@H]2C=Cc3c([C@H](C)O)cc(nc3[C@H]2O)C(=O)O[C@@H]4C)n1)C(N)=O,1664.92,C72H85N19O18S5,CHEMBL1236460,CHEMBL1236460,CHEMBL1293224,No
765316,4.4,,CHEMBL1614458,9,,,,CHEMBL1236460,THIOSTREPTON,Peptide (Inferred via PubChem),-1.0,,0,0,0,0,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=N[C@@H]3c4csc(n4)[C@H]4NC(=O)c5csc(n5)[C@H]([C@](C)(O)[C@@H](C)O)NC(=O)[C@H]5CSC(=N5)/C(=C/C)NC(=O)[C@H]([C@@H](C)O)NC(=O)c5csc(n5)[C@]3(CC2)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)CC)N[C@@H]2C=Cc3c([C@H](C)O)cc(nc3[C@H]2O)C(=O)O[C@@H]4C)n1)C(N)=O,1664.92,C72H85N19O18S5,CHEMBL1236460,CHEMBL1236460,CHEMBL3577,No
845048,5.0,,CHEMBL1614331,9,,,,CHEMBL1236460,THIOSTREPTON,Peptide (Inferred via PubChem),-1.0,,0,0,0,0,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=N[C@@H]3c4csc(n4)[C@H]4NC(=O)c5csc(n5)[C@H]([C@](C)(O)[C@@H](C)O)NC(=O)[C@H]5CSC(=N5)/C(=C/C)NC(=O)[C@H]([C@@H](C)O)NC(=O)c5csc(n5)[C@]3(CC2)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)CC)N[C@@H]2C=Cc3c([C@H](C)O)cc(nc3[C@H]2O)C(=O)O[C@@H]4C)n1)C(N)=O,1664.92,C72H85N19O18S5,CHEMBL1236460,CHEMBL1236460,CHEMBL1293227,No
1288568,7.11,,CHEMBL2342475,9,,,,CHEMBL2338554,Symplostatin 5,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,C/C=C1\NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](COS(=O)(=O)[O-])OC)C(C)C)[C@@H](C)OC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N2C(=O)[C@H](CC[C@H]2O)NC1=O.[Na+],1022.12,C47H64N7NaO15S,CHEMBL2365255,CHEMBL2365255,CHEMBL248,No
1288572,7.68,,CHEMBL2339522,9,,,,CHEMBL2338549,symplostatin 10,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,C/C=C1\NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](COS(=O)(=O)[O-])OC)[C@@H](C)CC)[C@@H](C)OC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H](Cc2ccccc2)N2C(=O)[C@H](CC[C@H]2O)NC1=O.[Na+],1052.15,C48H66N7NaO16S,CHEMBL2365694,CHEMBL2365694,CHEMBL248,No
1288573,7.55,,CHEMBL2339522,9,,,,CHEMBL2338551,symplostatin 9,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,C/C=C1\NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](COS(=O)(=O)[O-])OC)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H](Cc2ccccc2)N2C(=O)[C@H](CC[C@H]2O)NC1=O.[Na+],1024.09,C46H62N7NaO16S,CHEMBL2365368,CHEMBL2365368,CHEMBL248,No
1288574,7.39,,CHEMBL2339522,9,,,,CHEMBL2338550,symplostatin 8,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,C/C=C1\NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](COS(=O)(=O)[O-])OC)C(C)C)[C@@H](C)OC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H](Cc2ccccc2)N2C(=O)[C@H](CC[C@H]2O)NC1=O.[Na+],1038.12,C47H64N7NaO16S,CHEMBL2365464,CHEMBL2365464,CHEMBL248,No
1288575,6.71,,CHEMBL2339522,9,,,,CHEMBL2338552,symplostatin 7,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,C/C=C1\NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](COS(=O)(=O)[O-])OC)[C@@H](C)CC)[C@@H](C)OC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N2C(=O)[C@H](CC[C@H]2O)NC1=O.[Na+],1036.15,C48H66N7NaO15S,CHEMBL2365463,CHEMBL2365463,CHEMBL248,No
1288577,6.84,,CHEMBL2339522,9,,,,CHEMBL2338554,Symplostatin 5,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,C/C=C1\NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](COS(=O)(=O)[O-])OC)C(C)C)[C@@H](C)OC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N2C(=O)[C@H](CC[C@H]2O)NC1=O.[Na+],1022.12,C47H64N7NaO15S,CHEMBL2365255,CHEMBL2365255,CHEMBL248,No
1305561,8.72,,CHEMBL2394816,9,,,,CHEMBL2370569,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,COc1ccc(C[C@@H]2NC(=O)CC3(CCCCC3)SSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc3ccccc3)NC2=O)cc1,1151.38,C52H74N14O12S2,CHEMBL2370569,CHEMBL2370569,CHEMBL1889,No
1306315,9.41,,CHEMBL2394917,9,,,,CHEMBL2370569,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,COc1ccc(C[C@@H]2NC(=O)CC3(CCCCC3)SSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc3ccccc3)NC2=O)cc1,1151.38,C52H74N14O12S2,CHEMBL2370569,CHEMBL2370569,CHEMBL1889,No
1306369,9.2,,CHEMBL2394917,9,,,,CHEMBL2370569,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,COc1ccc(C[C@@H]2NC(=O)CC3(CCCCC3)SSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc3ccccc3)NC2=O)cc1,1151.38,C52H74N14O12S2,CHEMBL2370569,CHEMBL2370569,CHEMBL1889,No
1333079,9.62,,CHEMBL3117750,9,,,,CHEMBL3115771,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCc1ccc(C(=N)N)cc1)C(C)C,1027.37,C51H90N14O8,CHEMBL3115771,CHEMBL3115771,CHEMBL2433,No
1333081,7.86,,CHEMBL3117751,9,,,,CHEMBL3115771,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCc1ccc(C(=N)N)cc1)C(C)C,1027.37,C51H90N14O8,CHEMBL3115771,CHEMBL3115771,CHEMBL2232,No
1333085,8.37,,CHEMBL3117753,9,,,,CHEMBL3115771,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCc1ccc(C(=N)N)cc1)C(C)C,1027.37,C51H90N14O8,CHEMBL3115771,CHEMBL3115771,CHEMBL2611,No
1333105,8.51,,CHEMBL3117754,9,,,,CHEMBL3115771,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NCc1ccc(C(=N)N)cc1)C(C)C,1027.37,C51H90N14O8,CHEMBL3115771,CHEMBL3115771,CHEMBL2951,No
1452787,9.0,,CHEMBL3776016,9,,,,CHEMBL2370569,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,COc1ccc(C[C@@H]2NC(=O)CC3(CCCCC3)SSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc3ccccc3)NC2=O)cc1,1151.38,C52H74N14O12S2,CHEMBL2370569,CHEMBL2370569,CHEMBL1889,No
