,pChEMBL,Data validity comment,Assay ChEMBL ID,confidence_score,MOA,Direct interaction (1/0)?,Disease efficacy (1/0)?,Molecule ChEMBL ID,Preferred name,Molecule type,Max phase,Availability (2/1/0/-1/-2)?,Therapeutic (1/0)?,First-in-class (1/0/-1)?,Chemical probe (1/0)?,Orphan (1/0/-1)?,Canonical SMILES,Molecular weight of full compound,Molecular formula of full compound,Parent compound ChEMBL ID,Active ingredient ChEMBL ID,Target ChEMBL ID,Active ingredient of prodrug?
1943492,6.72,,CHEMBL5253113,9,,,,CHEMBL5283510,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,886.08,C34H59N15O9S2,CHEMBL5283510,CHEMBL5283510,CHEMBL237,No
1943493,6.18,,CHEMBL5253113,9,,,,CHEMBL5285832,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC(C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,1079.33,C38H66N18O11S4,CHEMBL5285832,CHEMBL5285832,CHEMBL237,No
1943494,7.62,,CHEMBL5253113,9,,,,CHEMBL5284138,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,1093.36,C39H68N18O11S4,CHEMBL5284138,CHEMBL5284138,CHEMBL237,No
1943495,8.89,,CHEMBL5253113,9,,,,CHEMBL5280066,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,1133.42,C42H72N18O11S4,CHEMBL5280066,CHEMBL5280066,CHEMBL237,No
1943496,7.55,,CHEMBL5253113,9,,,,CHEMBL5277937,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,1127.37,C42H66N18O11S4,CHEMBL5277937,CHEMBL5277937,CHEMBL237,No
1943497,8.54,,CHEMBL5253113,9,,,,CHEMBL5266718,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1cccc2ccccc12)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,1177.43,C46H68N18O11S4,CHEMBL5266718,CHEMBL5266718,CHEMBL237,No
1943498,6.86,,CHEMBL5253113,9,,,,CHEMBL5281057,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,1074.31,C39H63N17O11S4,CHEMBL5281057,CHEMBL5281057,CHEMBL237,No
1943499,7.07,,CHEMBL5253113,9,,,,CHEMBL5269763,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,1074.31,C39H63N17O11S4,CHEMBL5269763,CHEMBL5269763,CHEMBL237,No
1943500,6.37,,CHEMBL5253113,9,,,,CHEMBL5266854,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,1065.34,C39H68N16O11S4,CHEMBL5266854,CHEMBL5266854,CHEMBL237,No
1943501,6.68,,CHEMBL5253113,9,,,,CHEMBL5290212,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,1065.34,C39H68N16O11S4,CHEMBL5290212,CHEMBL5290212,CHEMBL237,No
