Molecule ChEMBL ID,Molecule Name,pChEMBL Value,Target ChEMBL ID,Target Name
CHEMBL2087337,VELUSETRAG,9.2,CHEMBL1875,Serotonin 4 (5-HT4) receptor
CHEMBL2095209,ICOSAPENT ETHYL,5.52,CHEMBL3401,Pregnane X receptor
CHEMBL2103849,UDENAFIL,8.08,CHEMBL1827,Phosphodiesterase 5A
CHEMBL2103880,CERLAPIRDINE,8.89,CHEMBL3371,Serotonin 6 (5-HT6) receptor
CHEMBL2104981,RILAPLADIB,9.6,CHEMBL3514,LDL-associated phospholipase A2
CHEMBL2105760,BREXPIPRAZOLE,9.92,CHEMBL214,Serotonin 1a (5-HT1a) receptor
CHEMBL2108724,SEMAGLUTIDE,10.73,CHEMBL1784,Glucagon-like peptide 1 receptor
CHEMBL2111051,TALSACLIDINE,6.38,CHEMBL2035,Muscarinic acetylcholine receptor M5
CHEMBL2151197,PF-03654746,8.77,CHEMBL264,Histamine H3 receptor
CHEMBL2151437,AZD0328,8.52,CHEMBL2492,Neuronal acetylcholine receptor protein alpha-7 subunit
CHEMBL2151572,ENCENICLINE,8.37,CHEMBL2492,Neuronal acetylcholine receptor protein alpha-7 subunit
CHEMBL217092,SARACATINIB,9.15,CHEMBL2073,Tyrosine-protein kinase YES
CHEMBL2177913,AZD-3839,9.22,CHEMBL4822,Beta-secretase 1
CHEMBL2179105,EDELINONTRINE,8.1,CHEMBL3535,Phosphodiesterase 9A
CHEMBL2179529,AZD1446,7.55,CHEMBL1882,Neuronal acetylcholine receptor protein alpha-4 subunit
CHEMBL218166,BIFEPRUNOX,10.4,CHEMBL217,Dopamine D2 receptor
CHEMBL2333941,LY-2811376,6.76,CHEMBL4822,Beta-secretase 1
CHEMBL2396989,LY-2886721,8.64,CHEMBL4822,Beta-secretase 1
CHEMBL25202,TAMIBAROTENE,8.19,CHEMBL2055,Retinoic acid receptor alpha
CHEMBL255863,NILOTINIB,8.96,CHEMBL5319,Epithelial discoidin domain-containing receptor 1
CHEMBL260138,ALSTERPAULLONE 2,9.1,CHEMBL262,Glycogen synthase kinase-3 beta
CHEMBL282468,CHOLINE CHLORIDE,4.77,CHEMBL4507,High-affinity choline transporter
CHEMBL297453,EPIGALOCATECHIN GALLATE,7.4,CHEMBL6119,40S ribosomal protein SA
CHEMBL301265,PRAMIPEXOLE,10.83,CHEMBL217,Dopamine D2 receptor
CHEMBL3092650,GSK239512,10.0,CHEMBL264,Histamine H3 receptor
CHEMBL3183549,BENFOTIAMINE,5.5,CHEMBL3622,Cytochrome P450 2C19
CHEMBL32,MOXIFLOXACIN,6.5,CHEMBL237,Kappa opioid receptor
CHEMBL325424,ALEPLASININ,5.07,CHEMBL3475,Plasminogen activator inhibitor-1
CHEMBL3286580,IDALOPIRDINE,9.08,CHEMBL3371,Serotonin 6 (5-HT6) receptor
CHEMBL3301601,VERUBECESTAT,9.43,CHEMBL2525,Beta secretase 2
CHEMBL3306803,LUMATEPERONE,9.27,CHEMBL224,Serotonin 2a (5-HT2a) receptor
CHEMBL3306918,PRX-03140,7.77,CHEMBL1875,Serotonin 4 (5-HT4) receptor
CHEMBL3329435,PF-05212377,9.3,CHEMBL3371,Serotonin 6 (5-HT6) receptor
CHEMBL33864,"LIPOIC ACID, ALPHA",6.46,CHEMBL1075138,Tyrosyl-DNA phosphodiesterase 1
CHEMBL3421729,MEVIDALEN,8.96,CHEMBL2056,Dopamine D1 receptor
CHEMBL3545157,TIDEGLUSIB,8.3,CHEMBL262,Glycogen synthase kinase-3 beta
CHEMBL3545367,LEMBOREXANT,9.36,CHEMBL4792,Orexin receptor 2
CHEMBL356388,ETAZOLATE,6.9,CHEMBL3356,Cytochrome P450 1A2
CHEMBL3597971,SELTOREXANT,8.05,CHEMBL4792,Orexin receptor 2
CHEMBL3634561,GSK-2647544,8.47,CHEMBL3514,LDL-associated phospholipase A2
CHEMBL3659477,VAROGLUTAMSTAT,7.61,CHEMBL4508,Glutaminyl-peptide cyclotransferase
CHEMBL3670800,LAZUCIRNON,8.49,CHEMBL3473,C-C chemokine receptor type 3
CHEMBL367149,DOCONEXENT,5.7,CHEMBL1628461,Oxoeicosanoid receptor 1
CHEMBL372205,LECOZOTAN,8.8,CHEMBL214,Serotonin 1a (5-HT1a) receptor
CHEMBL374478,RIFAMPIN,6.72,CHEMBL3401,Pregnane X receptor
CHEMBL3912108,,8.95,CHEMBL244,Coagulation factor X
CHEMBL3916243,ATABECESTAT,9.89,CHEMBL4822,Beta-secretase 1
CHEMBL393220,ATORVASTATIN CALCIUM,6.35,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1
CHEMBL3970784,,7.73,CHEMBL3880,Heat shock protein HSP 90-alpha
CHEMBL3989929,AZELIRAGON,7.9,CHEMBL2176846,Advanced glycosylation end product-specific receptor
CHEMBL3989948,LANABECESTAT,9.22,CHEMBL4822,Beta-secretase 1
CHEMBL4078588,MK-7622,8.1,CHEMBL216,Muscarinic acetylcholine receptor M1
CHEMBL4084119,LIRAGLUTIDE,10.18,CHEMBL1784,Glucagon-like peptide 1 receptor
CHEMBL4129018,MW-150,7.0,CHEMBL260,MAP kinase p38 alpha
CHEMBL4204869,ELENBECESTAT,8.15,CHEMBL4822,Beta-secretase 1
CHEMBL4206492,OSORESNONTRINE,7.28,CHEMBL3535,Phosphodiesterase 9A
CHEMBL428880,CROMOLYN,7.28,CHEMBL1293267,G-protein coupled receptor 35
CHEMBL4297438,T-817 MALEATE,7.8,CHEMBL287,Sigma opioid receptor
CHEMBL429910,DAPAGLIFLOZIN,9.31,CHEMBL3884,Sodium/glucose cotransporter 2
CHEMBL433,VALPROATE SODIUM,7.7,CHEMBL5162,Neuropeptide S receptor
CHEMBL449158,BRYOSTATIN 1,9.36,CHEMBL2996,Protein kinase C delta
CHEMBL4541964,ZATOLMILAST,8.13,CHEMBL288,Phosphodiesterase 4D
CHEMBL457,GEMFIBROZIL,7.0,CHEMBL3194,Transthyretin
CHEMBL4571075,BMS-984923,9.22,CHEMBL3227,Metabotropic glutamate receptor 5
CHEMBL468,THALIDOMIDE,6.69,CHEMBL233,Mu opioid receptor
CHEMBL468154,SCYLLITOL,4.0,CHEMBL2487,Amyloid-beta A4 protein
CHEMBL476323,MK-0249,9.28,CHEMBL264,Histamine H3 receptor
CHEMBL4802155,VAFIDEMSTAT,9.85,CHEMBL6136,Lysine-specific histone demethylase 1
CHEMBL493,BROMOCRIPTINE,9.7,CHEMBL234,Dopamine D3 receptor
CHEMBL50,QUERCETIN,7.92,CHEMBL1978,Cytochrome P450 19A1
CHEMBL501680,BILIRUBIN,6.14,CHEMBL1697668,Solute carrier organic anion transporter family member 1B1
CHEMBL502,DONEPEZIL,8.7,CHEMBL220,Acetylcholinesterase
CHEMBL517427,NILVADIPINE,6.36,CHEMBL1980,Sodium channel protein type V alpha subunit
CHEMBL521,IBUPROFEN,8.25,CHEMBL1293235,Prelamin-A/C
CHEMBL52440,DEXTROMETHORPHAN,8.84,CHEMBL228,Serotonin transporter
CHEMBL5314924,MK-8189,10.54,CHEMBL4409,Phosphodiesterase 10A
CHEMBL5314959,HTL-9936,7.5,CHEMBL216,Muscarinic acetylcholine receptor M1
CHEMBL54,HALOPERIDOL,10.22,CHEMBL234,Dopamine D3 receptor
CHEMBL542541,HYDRALAZINE HYDROCHLORIDE,5.25,CHEMBL1293224,Microtubule-associated protein tau
CHEMBL547,ISOTRETINOIN,6.8,CHEMBL4523454,Olfactory receptor 51E2
CHEMBL550495,METHYLENE BLUE,5.8,CHEMBL4159,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein
CHEMBL55643,COPPER,5.58,CHEMBL1250402,Transient receptor potential cation channel subfamily M member 2
CHEMBL559478,SSR180711,7.85,CHEMBL2492,Neuronal acetylcholine receptor protein alpha-7 subunit
CHEMBL566752,FLORBETABEN F18,8.66,CHEMBL2487,Amyloid-beta A4 protein
CHEMBL569713,SCOPOLAMINE,9.15,CHEMBL211,Muscarinic acetylcholine receptor M2
CHEMBL577294,2-HYDROXYPROPYL-BETA-CYCLODEXTRIN,7.4,CHEMBL1833,Serotonin 2b (5-HT2b) receptor
CHEMBL579205,FLUTEMETAMOL,9.13,CHEMBL2487,Amyloid-beta A4 protein
CHEMBL580,LORAZEPAM,4.58,CHEMBL208,Progesterone receptor
CHEMBL589390,LATREPIRDINE,8.1,CHEMBL3155,Serotonin 7 (5-HT7) receptor
CHEMBL592868,ESTROGEN,10.55,CHEMBL206,Estrogen receptor alpha
CHEMBL595,PIOGLITAZONE,7.21,CHEMBL235,Peroxisome proliferator-activated receptor gamma
CHEMBL6,INDOMETHACIN,9.85,CHEMBL221,Cyclooxygenase-1
CHEMBL600,ACETYLCYSTEINE,7.6,CHEMBL2903,Arachidonate 15-lipoxygenase
CHEMBL621,TRAZODONE,8.25,CHEMBL224,Serotonin 2a (5-HT2a) receptor
CHEMBL635,PREDNISONE,7.54,CHEMBL2034,Glucocorticoid receptor
CHEMBL636,RIVASTIGMINE,7.84,CHEMBL1914,Butyrylcholinesterase
CHEMBL64391,ITRACONAZOLE,7.52,CHEMBL4302,P-glycoprotein 1
CHEMBL655,MIDAZOLAM,7.21,CHEMBL340,Cytochrome P450 3A4
CHEMBL659,GALANTAMINE,7.21,CHEMBL220,Acetylcholinesterase
CHEMBL717,MEDROXYPROGESTERONE ACETATE,10.0,CHEMBL208,Progesterone receptor
CHEMBL744,RILUZOLE,6.5,CHEMBL3356,Cytochrome P450 1A2
CHEMBL773,GLYCINE,7.24,CHEMBL4523454,Olfactory receptor 51E2
CHEMBL778,DEXMEDETOMIDINE,10.82,CHEMBL223,Alpha-1d adrenergic receptor
CHEMBL787,MONTELUKAST,9.3,CHEMBL1798,Cysteinyl leukotriene receptor 1
CHEMBL796,METHYLPHENIDATE,7.77,CHEMBL238,Dopamine transporter
CHEMBL807,MEMANTINE,8.31,CHEMBL220,Acetylcholinesterase
CHEMBL81,RALOXIFENE,10.52,CHEMBL206,Estrogen receptor alpha
CHEMBL83980,BOHEMINE,6.1,CHEMBL301,Cyclin-dependent kinase 2
CHEMBL85,RISPERIDONE,10.0,CHEMBL224,Serotonin 2a (5-HT2a) receptor
CHEMBL862,GUANFACINE,8.4,CHEMBL4040,MAP kinase ERK2
CHEMBL887,RASAGILINE,8.85,CHEMBL3371,Serotonin 6 (5-HT6) receptor
CHEMBL894,BUPROPION,6.48,CHEMBL238,Dopamine transporter
CHEMBL98,VORINOSTAT,9.07,CHEMBL325,Histone deacetylase 1
